site_url,aff_url
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1746367-REG%2Fapple_mnh73ll_a_mac_mini_with_m2.html&xcust=___vg__p_22163460__i_RcPd6R__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F1746367-REG%2Fapple_mnh73ll_a_mac_mini_with_m2.html&xcust=___vg__p_22163460__i_RcPd6R__t_w__d_D
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.crateandbarrel.com%2Fge-profile-carbon-black-7-quart-smart-mixer-with-auto-sense%2Fs335484%3Flocaledetail%3DUS%26a%3D1552%26campaignid%3D1494332323%26adgroupid%3D60258618120%26targetid%3Dpla-332005902606%26pla_sku%3D335484%26pcat%3DHSW%26ag%3Dadult%26scid%3Dscplp335484%26sc_intid%3D335484%26gad_source%3D1%26gclid%3DCjwKCAiApuCrBhAuEiwA8VJ6Jh6d35K4sMBF_H7wUNL0E29BWuREP9iKydZWwb6aY2toLiG8sSWzVxoCSQsQAvD_BwE&xcust=___vg__p_23762285__i_10215__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Fwww.crateandbarrel.com%2Fge-profile-carbon-black-7-quart-smart-mixer-with-auto-sense%2Fs335484%3Flocaledetail%3DUS%26a%3D1552%26campaignid%3D1494332323%26adgroupid%3D60258618120%26targetid%3Dpla-332005902606%26pla_sku%3D335484%26pcat%3DHSW%26ag%3Dadult%26scid%3Dscplp335484%26sc_intid%3D335484%26gad_source%3D1%26gclid%3DCjwKCAiApuCrBhAuEiwA8VJ6Jh6d35K4sMBF_H7wUNL0E29BWuREP9iKydZWwb6aY2toLiG8sSWzVxoCSQsQAvD_BwE&xcust=___vg__p_23762285__i_10215__t_w__d_D
Name: aff_url, dtype: object"
https://www.amazon.com/dp/B07DYRS1WH/?tag=theverge02-20&ascsubtag=___vg__p_23773411__t_w__d_D,"0    https://www.amazon.com/dp/B07DYRS1WH/?tag=theverge02-20&ascsubtag=___vg__p_23773411__t_w__d_D
Name: aff_url, dtype: object"
https://goto.target.com/c/482924/81938/2092?u=https%3A%2F%2Fwww.target.com%2Fp%2Fbose-quietcomfort-ultra-noise-cancelling-bluetooth-wireless-earbuds-black%2F-%2FA-88914410&subId2=[]vg[p]23775757[i]Lg2SRJ[t]w[d]D,"1    https://www.target.com/p/bose-quietcomfort-ultra-noise-cancelling-bluetooth-wireless-earbuds-black/-/A-88914410?clkid=9f190e0aNa92411ee97a045938673b63f&cpng=PTID1&lnm=81938&afid=Vox%20Media&ref=tgt_adv_xasd0002
Name: aff_url, dtype: object"
https://howl.me/clgp1bIT6ct,"4    https://www.bestbuy.com/site/-/6562249.p?cmp=RMX&nrtv_cid=b1e44068826cf6d037de600173f205fe29625db4ee8e8dbd281d448f9609182c&utm_source=narrativ&ar=1829837835478501670&irclickid=0pkR5qWopxyPTMaQKe2r8UYmUkHxvA0O0S9s2U0&irgwc=1&ref=198&loc=Howl%20Technologies%2C%20Inc.&acampID=0&mpid=376373
Name: aff_url, dtype: object"
https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Feu.ecoflow.com%2Fproducts%2Fglacier-portable-refrigerator%3Fvariant%3D40524279644233&xcust=___vg__p_23751652__t_w__d_D,"0    https://go.redirectingat.com/?xs=1&id=1025X1701640&url=https%3A%2F%2Feu.ecoflow.com%2Fproducts%2Fglacier-portable-refrigerator%3Fvariant%3D40524279644233&xcust=___vg__p_23751652__t_w__d_D
Name: aff_url, dtype: object"
https://www.kqzyfj.com/click-8836598-13142126?sid=vergequickpost121823&url=https%3A%2F%2Ftools.woot.com%2Foffers%2Fphilips-hue-white-2-pack-led-smart-bulb-9,"0    https://www.kqzyfj.com/click-8836598-13142126?sid=vergequickpost121823&url=https%3A%2F%2Ftools.woot.com%2Foffers%2Fphilips-hue-white-2-pack-led-smart-bulb-9
Name: aff_url, dtype: object"
https://www.amazon.com/Bose-QuietComfort-Cancelling-World-Class-Cancellation/dp/B0CD2FSRDD/?tag=theverge02-20&ascsubtag=___vg__p_23775757__i_Lg2SRJ__t_w__d_D,"0    https://www.amazon.com/Bose-QuietComfort-Cancelling-World-Class-Cancellation/dp/B0CD2FSRDD/?tag=theverge02-20&ascsubtag=___vg__p_23775757__i_Lg2SRJ__t_w__d_D
Name: aff_url, dtype: object"
https://www.amazon.com/Bose-QuietComfort-Cancelling-World-Class-Cancellation/dp/B0CD2FSRDD/?tag=theverge02-20&ascsubtag=___vg__p_23775757__t_w__d_D,"0    https://www.amazon.com/Bose-QuietComfort-Cancelling-World-Class-Cancellation/dp/B0CD2FSRDD/?tag=theverge02-20&ascsubtag=___vg__p_23775757__t_w__d_D
Name: aff_url, dtype: object"
https://www.amazon.com/Apple-Smartwatch-Midnight-Aluminum-Fitness/dp/B0CHX8SZQS/?tag=theverge02-20&ascsubtag=___vg__p_23775757__t_w__d_D,"0    https://www.amazon.com/Apple-Smartwatch-Midnight-Aluminum-Fitness/dp/B0CHX8SZQS/?tag=theverge02-20&ascsubtag=___vg__p_23775757__t_w__d_D
Name: aff_url, dtype: object"
